model,scheme,variant,weighted,macro_f1,weighted_f1,accuracy,train_time_s,pred_time_s,f1_neg,f1_pos,f1_neu
LogisticRegression,binary,body,False,0.857,0.857,0.857,0.008,0.0001,0.852,0.861,
MultinomialNB,binary,body,False,0.824,0.824,0.825,0.001,0.0001,0.809,0.839,
ComplementNB,binary,body,False,0.831,0.832,0.832,0.001,0.0001,0.82,0.843,
LinearSVC,binary,body,False,0.836,0.836,0.836,0.002,0.0001,0.836,0.835,
RandomForest,binary,body,False,0.828,0.828,0.829,0.301,0.0507,0.819,0.837,
LogisticRegression,binary,body,True,0.857,0.857,0.857,0.005,0.0001,0.854,0.859,
LinearSVC,binary,body,True,0.843,0.843,0.843,0.002,0.0001,0.844,0.841,
RandomForest,binary,body,True,0.825,0.825,0.825,0.297,0.0503,0.818,0.832,
LogisticRegression,three_class,body,False,0.577,0.724,0.783,0.092,0.0002,0.835,0.851,0.045
MultinomialNB,three_class,body,False,0.548,0.7,0.762,0.001,0.0001,0.817,0.828,0.0
ComplementNB,three_class,body,False,0.546,0.699,0.759,0.001,0.0001,0.8,0.839,0.0
LinearSVC,three_class,body,False,0.67,0.77,0.797,0.007,0.0003,0.819,0.869,0.321
RandomForest,three_class,body,False,0.546,0.697,0.759,0.326,0.0495,0.812,0.826,0.0
LogisticRegression,three_class,body,True,0.669,0.749,0.752,0.089,0.0002,0.78,0.832,0.395
LinearSVC,three_class,body,True,0.687,0.776,0.794,0.006,0.0002,0.821,0.864,0.375
RandomForest,three_class,body,True,0.565,0.702,0.748,0.319,0.0497,0.785,0.831,0.08
LogisticRegression,binary,title+body,False,0.857,0.857,0.857,0.013,0.0002,0.853,0.86,
LinearSVC,three_class,title+body,True,0.66,0.769,0.79,0.006,0.0002,0.819,0.879,0.281
