review,rating
Worst product from Samsung ibreally did not expect this from samsung and I really had more expectations about this productMore over this phone says 90 hz display bit it hangs a lot and it's like using a fake 3 class phone.I do not want the other customers to fall for the Advitisment of this device which is a total scam I would like to says people be careful and don't be a victim to this phone,1
"dual app work , second whatsapp data not showing second data, media file is , delete , samsung solution not provide after 6 month, solution provide , please dont buy any samsung m series phone, total waste of money",1
Within 1 week charger gone dead. Handset has no any problem. But at that time handset was not charging. I was very disturbing.,2
"For this price - Nothing great to be expected.It's a low end phone. So everything about this phone is below average - except battery.Bad ambient light sensor, decent camera, decent amount output, cheap charging cables - bad quality.Excellent battery!Expensive phones - outstanding performanceCheap phones - you get what you pay for",2
"Camera is average, battery life very good, processor is little bit slow as other brands, display is good but not too good.",3
"As I am using this mobile more than one month, I am not give five star, camera quality is ordinary, display quality is not upto the mark at this price range.Nabin Mandal.",3
"I'm writing this review after 1 month of use. here is what is faced in this 1month span.cons :1. Auto-restart sometimes without information.2. Messages app having every time.3. Battery is average.4.90 Hz refresh rates stuck your phone.5. Charging Takes 2 hours. the charger is 9w, not 15w.6. Video Quality compromised.7. No App lock inbuilt.8. Installing Google Apps takes a little bit of time.Pros:1. Good and stylish Design.2. smooth User InterFace3. Animations while calling are very descent.Last but not Least At this price This is the best I saw. I know it's so many complications but it's the best mobile at this price.Thanks.",4
"At this cost, this phone is awesome. Camera, Screen, Battery everything is awesome. However, on careful inspection some sensors are missing when compared to Xiaomi and other Chinese brands.",4
"This phone is a budget phone which will help with long 1 and half day battery life with always full brightness, location and data on . Camera is good on pro mode but cannot be compared with high pixel phones. 6 GB ram is enough for play games. This phone has enough fps for games like pubg, asphalt games no lag.",5
"Bought this for my parents and they love it. As I am using A52 myself, I feel M12 delivers at its price range and then some. The fingerprint sensor is fast and accurate. Having 90 Hz Adaptive display is wonderful.Camera is decent as well, with options for Macro (attached) and Wide Angle being good as well. Haven't experienced any lags on medium workloads.Android 11 with updated UI, Smart View, Dolby Atmos, Good Battery Life are some highlights.Very satisfied with the purchase.",5
